Area,lon,lat,mode,share_2016,share_2021,delta_pp
Southbank (N),144.964,-37.823,Tram,19.2196,8.416,-10.8036
Southbank (N),144.964,-37.823,Truck,0.0373,0.0837,0.0464
Southbank (N),144.964,-37.823,Walk,32.6893,12.8332,-19.856100000000005
Southbank (N),144.964,-37.823,Worked at home,3.5471,40.528,36.9809
Southbank (P),144.958,-37.822,Bicycle,2.483,1.4617,-1.0213
Southbank (P),144.958,-37.822,Bus,1.4002,0.6825,-0.7176999999999999
Southbank (P),144.958,-37.822,Car driver,20.5918,15.1384,-5.4533999999999985
Southbank (P),144.958,-37.822,Car passenger,1.9789,1.4617,-0.5172000000000001
Southbank (P),144.958,-37.822,Did not go to work,6.3194,10.3155,3.9961
Southbank (P),144.958,-37.822,Ferry,0.0373,,
Southbank (P),144.958,-37.822,Motorbike,0.4947,0.7405,0.24580000000000007
Southbank (P),144.958,-37.822,Not stated,0.5414,0.4572,-0.0842
Southbank (P),144.958,-37.822,Other,1.8482,1.8158,-0.032399999999999984
Southbank (P),144.958,-37.822,Public transport,58.022800000000004,29.3624,-28.660400000000003
Southbank (P),144.958,-37.822,Taxi/Rideshare,0.4574,0.4829,0.025500000000000023
Southbank (P),144.958,-37.822,Total,100.0,100.0,0.0
Southbank (P),144.958,-37.822,Train,8.3543,5.5827,-2.7716000000000003
Southbank (P),144.958,-37.822,Tram,19.2196,8.416,-10.8036
Southbank (P),144.958,-37.822,Truck,0.0373,0.0837,0.0464
Southbank (P),144.958,-37.822,Walk,32.6893,12.8332,-19.856100000000005
Southbank (P),144.958,-37.822,Worked at home,3.5471,40.528,36.9809
West Melbourne (N),144.941,-37.809,Bicycle,4.5829,2.2807,-2.3022000000000005
West Melbourne (N),144.941,-37.809,Bus,1.4177,0.9123,-0.5054
West Melbourne (N),144.941,-37.809,Car driver,21.9585,16.3384,-5.620100000000001
West Melbourne (N),144.941,-37.809,Car passenger,1.6485,1.7002,0.05169999999999986
West Melbourne (N),144.941,-37.809,Did not go to work,8.8032,11.3622,2.5589999999999993
West Melbourne (N),144.941,-37.809,Motorbike,0.5605,1.016,0.4555
West Melbourne (N),144.941,-37.809,Not stated,0.8902,0.4147,-0.4755
West Melbourne (N),144.941,-37.809,Other,1.7474,1.4306,-0.31679999999999997
West Melbourne (N),144.941,-37.809,Public transport,58.0252,29.069200000000002,-28.955999999999996
West Melbourne (N),144.941,-37.809,Taxi/Rideshare,0.2638,0.2488,-0.014999999999999986
West Melbourne (N),144.941,-37.809,Total,100.0,100.0,0.0
West Melbourne (N),144.941,-37.809,Train,13.2542,7.2362,-6.018000000000001
West Melbourne (N),144.941,-37.809,Tram,14.2763,6.3861,-7.890200000000001
West Melbourne (N),144.941,-37.809,Truck,0.0989,0.1244,0.025499999999999995
West Melbourne (N),144.941,-37.809,Walk,27.0359,12.0257,-15.010200000000001
West Melbourne (N),144.941,-37.809,Worked at home,3.4619,38.5237,35.0618
West Melbourne (P),144.935,-37.807,Bicycle,4.5829,2.2807,-2.3022000000000005
West Melbourne (P),144.935,-37.807,Bus,1.4177,0.9123,-0.5054
West Melbourne (P),144.935,-37.807,Car driver,21.9585,16.3384,-5.620100000000001
West Melbourne (P),144.935,-37.807,Car passenger,1.6485,1.7002,0.05169999999999986
West Melbourne (P),144.935,-37.807,Did not go to work,8.8032,11.3622,2.5589999999999993
West Melbourne (P),144.935,-37.807,Motorbike,0.5605,1.016,0.4555
West Melbourne (P),144.935,-37.807,Not stated,0.8902,0.4147,-0.4755
West Melbourne (P),144.935,-37.807,Other,1.7474,1.4306,-0.31679999999999997
West Melbourne (P),144.935,-37.807,Public transport,58.0252,29.069200000000002,-28.955999999999996
West Melbourne (P),144.935,-37.807,Taxi/Rideshare,0.2638,0.2488,-0.014999999999999986
West Melbourne (P),144.935,-37.807,Total,100.0,100.0,0.0
West Melbourne (P),144.935,-37.807,Train,13.2542,7.2362,-6.018000000000001
West Melbourne (P),144.935,-37.807,Tram,14.2763,6.3861,-7.890200000000001
West Melbourne (P),144.935,-37.807,Truck,0.0989,0.1244,0.025499999999999995
West Melbourne (P),144.935,-37.807,Walk,27.0359,12.0257,-15.010200000000001
West Melbourne (P),144.935,-37.807,Worked at home,3.4619,38.5237,35.0618
